order_id,customer_id,product_id,quantity,price,order_date
ORDER10073,CUST0024,P0201,5,29469,2023-10-18 09:01:58
ORDER10074,CUST0024,P0215,10,1453982,2024-02-11 10:14:54
ORDER10075,CUST0025,P0212,3,48131,2024-08-26 06:51:57
ORDER10076,CUST0026,P0059,3,525670,2024-08-02 23:11:18
ORDER10077,CUST0026,P0281,10,364181,2023-04-01 22:32:51
ORDER10078,CUST0026,P0224,3,1079885,2023-03-13 16:54:21
ORDER10079,CUST0026,P0131,1,1235993,2023-06-10 20:25:04
ORDER10080,CUST0026,P0251,10,952081,2023-03-27 09:27:44
ORDER10081,CUST0026,P0124,3,829631,2023-07-09 06:47:14
ORDER10082,CUST0026,P0275,1,1313184,2025-03-20 20:51:42
ORDER10083,CUST0026,P0099,10,169113,2024-03-12 05:59:26
ORDER10084,CUST0026,P0012,2,946097,2023-11-16 10:43:51
ORDER10085,CUST0026,P0176,2,1387773,2023-05-21 07:10:46
ORDER10086,CUST0027,P0290,1,880359,2024-10-26 08:51:23
ORDER10087,CUST0027,P0062,2,501977,2023-07-05 08:43:50
ORDER10088,CUST0027,P0119,5,1492368,2023-12-25 06:15:04
ORDER10089,CUST0027,P0020,2,825829,2023-01-17 04:37:28
ORDER10090,CUST0027,P0242,1,1134297,2024-08-03 06:29:32
ORDER10091,CUST0027,P0164,10,419885,2024-11-03 19:54:32
ORDER10092,CUST0027,P0082,3,1235818,2023-09-22 03:15:27
ORDER10093,CUST0027,P0290,2,880359,2024-08-10 19:14:30
ORDER10094,CUST0027,P0009,1,1477570,2025-01-14 20:35:43
ORDER10095,CUST0027,P0193,2,277468,2023-05-26 01:59:00
ORDER10096,CUST0027,P0092,5,201319,2023-11-05 07:25:43
ORDER10097,CUST0027,P0193,5,277468,2023-09-13 13:20:25
ORDER10098,CUST0027,P0300,10,136877,2024-12-09 01:09:39
ORDER10099,CUST0027,P0291,10,900127,2023-09-02 22:51:08
ORDER10100,CUST0027,P0157,10,1039332,2023-09-04 12:01:15
ORDER10101,CUST0027,P0050,10,113369,2025-01-16 19:33:35
ORDER10102,CUST0027,P0050,3,113369,2024-09-06 06:51:24
ORDER10103,CUST0027,P0251,2,952081,2024-11-11 21:23:27
ORDER10104,CUST0027,P0216,5,423345,2025-02-03 03:34:59
ORDER10105,CUST0027,P0183,3,543898,2023-02-27 01:19:51
ORDER10106,CUST0028,P0210,1,805323,2023-07-08 22:13:24
ORDER10107,CUST0028,P0052,2,151130,2024-11-03 20:28:34
ORDER10108,CUST0029,P0010,2,665409,2024-06-13 15:28:01
ORDER10109,CUST0029,P0148,3,187145,2023-11-11 15:57:24
ORDER10110,CUST0030,P0112,3,225319,2023-10-31 14:20:58
ORDER10111,CUST0030,P0030,10,613612,2024-03-23 15:41:05
ORDER10112,CUST0031,P0181,5,743206,2024-07-31 00:45:48
ORDER10113,CUST0032,P0022,10,1206815,2024-03-08 10:02:54
ORDER10114,CUST0032,P0083,5,14097,2023-12-22 15:22:06
ORDER10115,CUST0032,P0011,3,1449216,2023-07-10 20:41:40
ORDER10116,CUST0033,P0217,1,543920,2024-10-12 14:54:17
ORDER10117,CUST0034,P0163,1,187699,2023-04-11 03:17:17
ORDER10118,CUST0034,P0130,3,1025813,2023-10-06 11:27:17
ORDER10119,CUST0034,P0148,10,187145,2024-10-24 13:19:07
ORDER10120,CUST0034,P0177,10,54759,2023-02-25 05:59:23
ORDER10121,CUST0034,P0219,3,1400210,2023-06-02 03:23:41
ORDER10122,CUST0035,P0181,2,743206,2023-12-19 11:33:12
ORDER10123,CUST0035,P0117,5,95936,2025-02-16 13:37:01
ORDER10124,CUST0035,P0125,3,806756,2024-07-29 09:58:44
ORDER10125,CUST0036,P0017,2,1142898,2023-04-13 09:40:58
ORDER10126,CUST0036,P0127,3,1080254,2024-05-31 18:00:25
ORDER10127,CUST0036,P0019,10,1239281,2025-02-08 09:09:11
ORDER10128,CUST0036,P0090,3,360584,2024-07-08 13:09:38
ORDER10129,CUST0036,P0113,1,480674,2023-01-30 00:41:29
ORDER10130,CUST0036,P0019,2,1239281,2025-01-25 01:32:54
ORDER10131,CUST0036,P0223,3,619930,2023-05-30 04:37:28
ORDER10132,CUST0036,P0255,5,644240,2024-06-30 17:50:41
ORDER10133,CUST0036,P0267,1,1040583,2023-04-15 02:41:36
ORDER10134,CUST0036,P0290,2,880359,2024-04-15 02:53:19
ORDER10135,CUST0036,P0097,3,602582,2024-04-09 21:50:15
ORDER10136,CUST0036,P0225,2,241488,2023-11-24 06:42:19
ORDER10137,CUST0036,P0219,5,1400210,2024-03-30 16:26:38
ORDER10138,CUST0036,P0057,3,656967,2024-08-21 22:22:59
ORDER10139,CUST0036,P0238,1,929398,2024-02-08 12:30:22
ORDER10140,CUST0036,P0003,5,1022091,2024-12-22 15:02:01
ORDER10141,CUST0036,P0151,2,1452123,2025-01-30 07:58:41
ORDER10142,CUST0036,P0150,10,1352809,2024-06-02 04:35:14
ORDER10143,CUST0036,P0278,5,962712,2024-08-08 10:25:26
ORDER10144,CUST0036,P0092,1,201319,2023-04-23 11:00:28
ORDER10145,CUST0037,P0012,5,946097,2023-02-06 10:22:46
ORDER10146,CUST0037,P0185,1,1183931,2025-01-31 11:13:35
ORDER10147,CUST0037,P0294,5,778461,2023-08-29 07:10:39
ORDER10148,CUST0037,P0269,3,1036911,2023-04-25 22:04:24
ORDER10149,CUST0037,P0067,2,543586,2025-03-28 19:33:52
ORDER10150,CUST0038,P0049,1,238811,2023-12-31 02:06:04
ORDER10151,CUST0039,P0133,3,1439619,2025-01-17 00:45:05
ORDER10152,CUST0039,P0133,3,1439619,2023-06-08 12:27:45
ORDER10153,CUST0039,P0109,3,1057651,2024-12-18 06:42:04
ORDER10154,CUST0039,P0076,5,10597,2024-12-18 22:17:25
ORDER10155,CUST0039,P0010,2,665409,2023-05-20 17:48:50
ORDER10156,CUST0039,P0210,2,805323,2024-09-30 14:12:05
ORDER10157,CUST0039,P0172,5,700575,2025-01-19 17:39:37
ORDER10158,CUST0039,P0247,5,35130,2024-10-09 10:51:16
ORDER10159,CUST0039,P0098,10,74841,2024-04-30 12:41:09
ORDER10160,CUST0039,P0056,3,1097858,2023-12-05 18:58:07
ORDER10161,CUST0039,P0134,5,859936,2024-10-18 09:15:21
ORDER10162,CUST0039,P0194,2,1334080,2024-12-27 04:48:06
ORDER10163,CUST0039,P0034,10,139108,2023-04-01 18:44:25
ORDER10164,CUST0039,P0252,10,164637,2025-03-07 22:49:20
ORDER10165,CUST0039,P0070,2,554837,2024-04-30 22:20:57
ORDER10166,CUST0040,P0104,10,202499,2025-02-24 07:15:06
ORDER10167,CUST0040,P0268,2,743478,2023-10-19 05:50:53
ORDER10168,CUST0041,P0091,2,613371,2023-07-22 10:06:11
ORDER10169,CUST0041,P0201,1,29469,2023-10-21 15:01:47
ORDER10170,CUST0042,P0190,2,744759,2023-07-30 09:38:39
ORDER10171,CUST0042,P0174,3,1271700,2024-05-08 10:43:08
ORDER10172,CUST0042,P0144,1,888928,2024-04-23 19:01:56
ORDER10173,CUST0042,P0028,10,97107,2023-08-15 08:23:57
ORDER10174,CUST0042,P0152,5,632396,2025-02-11 20:07:46
ORDER10175,CUST0043,P0270,5,1289589,2024-05-03 16:01:32
ORDER10176,CUST0044,P0148,3,187145,2025-02-03 08:31:36
ORDER10177,CUST0044,P0119,2,1492368,2023-04-12 03:26:03
ORDER10178,CUST0045,P0199,10,1262519,2024-06-01 23:38:23
ORDER10179,CUST0046,P0088,5,1291717,2023-07-12 04:52:04
ORDER10180,CUST0047,P0284,10,934838,2024-11-21 19:17:32
ORDER10181,CUST0047,P0091,2,613371,2023-06-27 05:19:42
ORDER10182,CUST0047,P0184,3,582722,2024-12-11 18:27:44
ORDER10183,CUST0048,P0181,10,743206,2023-09-01 07:22:50
ORDER10184,CUST0048,P0170,1,839401,2023-11-21 14:50:08
ORDER10185,CUST0049,P0016,1,1172540,2023-02-05 18:24:41
ORDER10186,CUST0049,P0212,1,48131,2023-01-06 01:03:59
ORDER10187,CUST0049,P0153,1,243569,2023-02-24 22:31:52
ORDER10188,CUST0049,P0094,5,617731,2024-11-10 18:39:02
ORDER10189,CUST0049,P0272,1,1195004,2023-03-09 01:47:42
ORDER10190,CUST0049,P0010,3,665409,2023-07-29 14:41:48
ORDER10191,CUST0049,P0172,1,700575,2024-09-03 15:42:01
ORDER10192,CUST0049,P0005,3,1150718,2024-05-19 16:44:37
ORDER10193,CUST0049,P0083,10,14097,2023-01-27 23:43:36
ORDER10194,CUST0049,P0253,2,143687,2024-03-08 00:18:41
ORDER10195,CUST0050,P0271,2,319113,2024-04-05 18:38:27
ORDER10196,CUST0050,P0170,3,839401,2023-07-17 07:37:45
ORDER10197,CUST0050,P0013,10,162104,2024-05-22 22:53:31
ORDER10198,CUST0050,P0132,10,736742,2025-03-09 21:08:31
ORDER10199,CUST0050,P0097,1,602582,2024-11-18 23:37:21
ORDER10200,CUST0050,P0014,5,480783,2023-12-04 07:11:14
ORDER10201,CUST0050,P0137,1,873742,2024-01-31 01:29:51
ORDER10202,CUST0050,P0158,5,781993,2024-08-04 19:35:11
ORDER10203,CUST0050,P0247,3,35130,2023-05-23 13:20:05
ORDER10204,CUST0050,P0068,2,1324165,2023-07-28 04:58:37
ORDER10205,CUST0050,P0193,3,277468,2023-12-05 14:40:24
ORDER10206,CUST0050,P0262,10,1476322,2023-01-05 08:39:28
ORDER10207,CUST0050,P0189,5,1091976,2024-11-18 18:18:00
ORDER10208,CUST0050,P0140,3,245215,2024-06-04 12:53:16
ORDER10209,CUST0050,P0283,1,1144387,2023-03-22 23:21:46
ORDER10210,CUST0051,P0126,1,139260,2024-08-19 10:08:08
ORDER10211,CUST0051,P0008,3,453391,2023-06-25 12:11:43
ORDER10212,CUST0052,P0191,1,553480,2023-09-24 22:55:11
ORDER10213,CUST0052,P0225,2,241488,2023-08-13 16:01:50
ORDER10214,CUST0052,P0022,3,1206815,2023-12-21 13:41:34
ORDER10215,CUST0052,P0146,10,235405,2023-08-03 14:02:24
ORDER10216,CUST0052,P0211,2,37972,2025-01-14 05:44:31
ORDER10217,CUST0053,P0018,5,627063,2024-10-02 14:14:07
ORDER10218,CUST0054,P0085,5,1266072,2023-09-25 11:20:07
ORDER10219,CUST0054,P0045,10,50511,2025-01-12 18:43:53
ORDER10220,CUST0054,P0275,10,1313184,2024-11-22 19:30:49
ORDER10221,CUST0055,P0083,1,14097,2024-03-12 15:39:04
ORDER10222,CUST0055,P0097,5,602582,2023-03-10 09:10:44
ORDER10223,CUST0055,P0043,2,1305509,2023-07-04 05:47:02
ORDER10224,CUST0055,P0134,2,859936,2024-02-04 04:03:06
ORDER10225,CUST0055,P0246,3,1181798,2024-11-24 13:21:57
ORDER10226,CUST0056,P0118,5,380084,2023-03-05 20:55:30
ORDER10227,CUST0056,P0125,5,806756,2024-12-22 17:57:40
ORDER10228,CUST0057,P0064,3,627723,2023-12-17 06:41:29
ORDER10229,CUST0057,P0071,2,487747,2023-03-07 15:05:27
ORDER10230,CUST0057,P0155,5,998733,2023-08-29 06:44:15
ORDER10231,CUST0057,P0211,1,37972,2024-05-26 13:42:50
ORDER10232,CUST0057,P0037,10,165075,2023-12-10 08:34:46
ORDER10233,CUST0057,P0270,3,1289589,2024-09-27 21:30:33
ORDER10234,CUST0057,P0098,5,74841,2024-03-14 17:01:03
ORDER10235,CUST0057,P0001,5,1219423,2023-12-30 01:37:08
ORDER10236,CUST0057,P0096,3,282244,2024-09-23 02:15:29
ORDER10237,CUST0057,P0106,10,1409226,2024-10-25 07:09:34
ORDER10238,CUST0058,P0072,3,895832,2024-12-22 02:20:16
ORDER10239,CUST0058,P0083,3,14097,2024-10-21 01:26:14
ORDER10240,CUST0058,P0090,2,360584,2024-02-04 02:34:35
ORDER10241,CUST0059,P0295,5,553858,2023-10-08 16:36:43
ORDER10242,CUST0059,P0250,2,106429,2023-11-24 00:40:22
ORDER10243,CUST0059,P0125,1,806756,2023-06-30 12:05:21
ORDER10244,CUST0060,P0150,2,1352809,2023-08-19 06:13:55
ORDER10245,CUST0060,P0207,5,1470918,2024-09-25 04:16:49
ORDER10246,CUST0060,P0017,2,1142898,2024-08-28 05:53:01
ORDER10247,CUST0060,P0138,5,1393025,2024-03-24 21:35:01
ORDER10248,CUST0060,P0052,2,151130,2024-08-18 17:37:46
ORDER10249,CUST0060,P0101,10,1089282,2023-07-03 20:07:46
ORDER10250,CUST0060,P0157,5,1039332,2024-01-29 12:19:47
ORDER10251,CUST0060,P0127,2,1080254,2023-09-13 18:05:45
ORDER10252,CUST0060,P0044,1,1105244,2023-03-03 11:15:27
ORDER10253,CUST0060,P0241,5,921383,2023-03-13 11:16:10
ORDER10254,CUST0060,P0025,5,422152,2023-10-05 10:44:02
ORDER10255,CUST0060,P0166,5,325085,2024-01-01 22:29:08
ORDER10256,CUST0060,P0030,10,613612,2023-10-24 12:17:02
ORDER10257,CUST0060,P0091,3,613371,2023-02-15 16:50:55
ORDER10258,CUST0060,P0039,5,999238,2023-04-25 00:59:24
ORDER10259,CUST0061,P0002,10,310200,2023-08-13 16:26:55
ORDER10260,CUST0061,P0047,5,1377337,2023-08-09 20:49:38
ORDER10261,CUST0061,P0223,2,619930,2024-04-23 07:39:01
ORDER10262,CUST0062,P0027,5,1489355,2023-09-11 02:23:20
ORDER10263,CUST0062,P0059,5,525670,2023-12-30 21:46:50
ORDER10264,CUST0062,P0189,2,1091976,2024-04-22 02:59:47
ORDER10265,CUST0062,P0021,1,1126763,2023-10-16 15:48:00
ORDER10266,CUST0062,P0211,1,37972,2024-07-11 11:15:45
ORDER10267,CUST0063,P0107,3,314127,2024-08-06 22:08:05
ORDER10268,CUST0064,P0014,5,480783,2024-04-26 22:04:41
ORDER10269,CUST0064,P0233,10,399915,2024-12-23 15:32:07
ORDER10270,CUST0065,P0272,1,1195004,2024-11-10 09:22:35
ORDER10271,CUST0065,P0065,1,318626,2023-10-19 12:09:49
ORDER10272,CUST0065,P0247,1,35130,2024-05-25 01:40:50
ORDER10273,CUST0066,P0258,2,1468810,2025-02-05 13:29:17
ORDER10274,CUST0066,P0011,2,1449216,2023-02-21 09:23:16
ORDER10275,CUST0066,P0222,3,238961,2024-12-06 02:51:18
ORDER10276,CUST0067,P0022,3,1206815,2023-08-12 10:58:19
ORDER10277,CUST0067,P0296,5,928656,2023-10-01 04:46:19
ORDER10278,CUST0067,P0047,2,1377337,2023-04-02 07:47:29
ORDER10279,CUST0067,P0249,10,335083,2023-05-28 18:53:42
ORDER10280,CUST0067,P0144,2,888928,2024-02-25 11:07:53
ORDER10281,CUST0068,P0098,3,74841,2023-10-12 12:29:03
ORDER10282,CUST0068,P0095,1,1063747,2025-03-28 12:00:11
ORDER10283,CUST0068,P0223,5,619930,2024-06-23 11:05:10
ORDER10284,CUST0068,P0280,3,1347232,2024-11-28 11:03:20
ORDER10285,CUST0068,P0133,1,1439619,2025-02-27 16:28:36
ORDER10286,CUST0069,P0269,3,1036911,2025-03-28 06:11:43
ORDER10287,CUST0069,P0091,3,613371,2024-06-29 01:51:18
ORDER10288,CUST0069,P0281,2,364181,2024-01-27 19:56:51
ORDER10289,CUST0069,P0079,10,737344,2023-12-01 12:49:15
ORDER10290,CUST0069,P0273,3,876710,2024-12-02 17:06:05
ORDER10291,CUST0070,P0188,3,1284766,2023-08-10 13:51:36
ORDER10292,CUST0070,P0294,10,778461,2023-05-25 11:43:48
ORDER10293,CUST0070,P0071,2,487747,2025-03-20 07:46:21
ORDER10294,CUST0070,P0044,1,1105244,2025-01-29 03:40:50
ORDER10295,CUST0070,P0095,5,1063747,2024-01-31 08:03:10
ORDER10296,CUST0070,P0290,1,880359,2023-01-18 16:28:42
ORDER10297,CUST0070,P0055,3,908010,2025-01-22 02:48:49
ORDER10298,CUST0070,P0017,1,1142898,2023-07-21 15:41:32
ORDER10299,CUST0070,P0168,5,346099,2024-11-14 23:58:40
ORDER10300,CUST0070,P0100,1,368160,2024-10-31 06:57:10
ORDER10301,CUST0070,P0151,1,1452123,2023-02-22 06:22:15
ORDER10302,CUST0070,P0263,1,190782,2023-09-13 14:00:48
ORDER10303,CUST0070,P0090,3,360584,2025-03-30 15:50:05
ORDER10304,CUST0070,P0279,10,1274782,2024-11-13 03:19:00
ORDER10305,CUST0070,P0209,1,353641,2024-01-19 17:06:07
ORDER10306,CUST0070,P0192,3,666458,2024-12-03 05:23:04
ORDER10307,CUST0070,P0280,1,1347232,2023-06-19 08:24:28
ORDER10308,CUST0070,P0160,5,1112297,2023-11-09 17:40:23
ORDER10309,CUST0070,P0108,1,1031112,2024-08-31 07:38:41
ORDER10310,CUST0070,P0145,1,268601,2024-02-20 07:16:53
ORDER10311,CUST0071,P0248,10,67319,2023-01-12 17:48:18
ORDER10312,CUST0071,P0003,3,1022091,2023-01-11 12:15:51
ORDER10313,CUST0071,P0195,2,971834,2023-05-22 08:31:38
ORDER10314,CUST0072,P0128,5,84873,2024-03-02 00:37:37
ORDER10315,CUST0072,P0198,2,782381,2025-03-08 23:30:34
ORDER10316,CUST0073,P0064,10,627723,2024-01-07 11:22:41
ORDER10317,CUST0073,P0022,5,1206815,2023-04-07 11:12:23
ORDER10318,CUST0074,P0018,5,627063,2024-04-06 06:48:22
ORDER10319,CUST0074,P0026,5,1087640,2023-03-18 20:23:06
ORDER10320,CUST0074,P0248,1,67319,2023-05-02 10:21:56
ORDER10321,CUST0074,P0163,1,187699,2024-11-09 02:56:30
ORDER10322,CUST0074,P0245,5,470344,2024-08-04 23:52:44
ORDER10323,CUST0075,P0055,1,908010,2024-02-14 21:34:37
ORDER10324,CUST0076,P0016,3,1172540,2023-02-10 09:55:08
ORDER10325,CUST0076,P0201,2,29469,2023-11-15 15:02:05
ORDER10326,CUST0076,P0223,1,619930,2024-06-10 03:45:22
ORDER10327,CUST0077,P0044,2,1105244,2024-02-27 06:00:13
ORDER10328,CUST0078,P0250,5,106429,2024-06-16 14:16:22
ORDER10329,CUST0078,P0203,3,184722,2023-06-12 12:15:46
ORDER10330,CUST0078,P0124,3,829631,2024-09-27 22:35:29
ORDER10331,CUST0078,P0268,10,743478,2023-05-24 00:53:46
ORDER10332,CUST0078,P0137,3,873742,2024-10-18 13:07:53
ORDER10333,CUST0079,P0211,1,37972,2024-03-17 12:14:11
ORDER10334,CUST0079,P0125,10,806756,2024-02-29 10:43:57
ORDER10335,CUST0079,P0125,1,806756,2023-09-10 11:44:01
ORDER10336,CUST0079,P0208,3,722054,2024-11-21 06:25:42
ORDER10337,CUST0079,P0099,5,169113,2023-11-09 11:51:13
ORDER10338,CUST0080,P0064,3,627723,2024-07-28 05:47:50
ORDER10339,CUST0081,P0048,2,200812,2023-08-21 06:04:29
ORDER10340,CUST0081,P0174,1,1271700,2023-05-06 15:00:59
ORDER10341,CUST0081,P0030,1,613612,2023-09-19 04:04:44
ORDER10342,CUST0081,P0216,3,423345,2024-12-06 21:11:13
ORDER10343,CUST0081,P0027,2,1489355,2023-09-21 18:25:01
ORDER10344,CUST0081,P0216,10,423345,2024-07-26 03:26:43
ORDER10345,CUST0081,P0163,5,187699,2023-06-30 10:58:39
ORDER10346,CUST0081,P0044,1,1105244,2023-11-14 00:44:56
ORDER10347,CUST0081,P0141,3,383182,2024-08-08 04:25:02
ORDER10348,CUST0081,P0134,5,859936,2024-12-04 04:35:22
ORDER10349,CUST0082,P0210,5,805323,2024-06-29 09:29:48
ORDER10350,CUST0082,P0208,10,722054,2023-05-01 19:23:15
ORDER10351,CUST0082,P0159,5,1251236,2025-02-10 12:22:31
ORDER10352,CUST0082,P0050,1,113369,2025-03-18 16:02:41
ORDER10353,CUST0082,P0125,5,806756,2025-01-28 08:10:44
ORDER10354,CUST0082,P0022,10,1206815,2023-02-18 20:56:30
ORDER10355,CUST0082,P0141,1,383182,2023-05-12 00:43:33
ORDER10356,CUST0082,P0145,10,268601,2024-12-06 12:59:17
ORDER10357,CUST0082,P0268,10,743478,2024-05-17 13:54:20
ORDER10358,CUST0082,P0116,3,964406,2023-06-03 16:18:53
ORDER10359,CUST0083,P0114,5,627436,2024-10-30 13:57:06
ORDER10360,CUST0084,P0270,3,1289589,2025-01-16 09:18:52
ORDER10361,CUST0085,P0040,1,203541,2023-03-12 22:38:12
ORDER10362,CUST0085,P0110,5,1438946,2024-11-30 21:49:06
ORDER10363,CUST0085,P0290,2,880359,2024-10-11 06:26:55
ORDER10364,CUST0085,P0030,3,613612,2023-03-19 22:18:49
ORDER10365,CUST0085,P0202,1,417784,2025-01-21 00:04:54
ORDER10366,CUST0085,P0169,5,68442,2023-09-28 12:06:22
ORDER10367,CUST0085,P0068,2,1324165,2024-12-17 12:18:18
ORDER10368,CUST0085,P0088,5,1291717,2023-03-05 06:55:25
ORDER10369,CUST0085,P0203,10,184722,2024-05-20 22:01:56
ORDER10370,CUST0085,P0113,5,480674,2025-01-06 18:42:26
ORDER10371,CUST0085,P0004,3,672791,2025-02-03 02:13:36
ORDER10372,CUST0085,P0110,5,1438946,2024-04-08 09:12:37
ORDER10373,CUST0085,P0175,3,1107305,2024-10-27 02:05:52
ORDER10374,CUST0085,P0240,10,534330,2023-10-24 02:14:11
ORDER10375,CUST0085,P0188,5,1284766,2023-01-11 04:29:50
ORDER10376,CUST0086,P0045,5,50511,2024-09-16 19:22:15
ORDER10377,CUST0086,P0083,10,14097,2023-01-20 19:37:15
ORDER10378,CUST0086,P0105,10,1151797,2024-05-06 23:56:20
ORDER10379,CUST0087,P0092,2,201319,2023-08-22 16:54:02
ORDER10380,CUST0087,P0065,5,318626,2024-04-19 19:51:58
ORDER10381,CUST0088,P0036,10,701808,2023-03-25 23:48:31
ORDER10382,CUST0088,P0220,2,112537,2024-07-23 00:48:40
ORDER10383,CUST0088,P0241,2,921383,2023-06-26 21:20:38
ORDER10384,CUST0089,P0191,2,553480,2023-07-28 20:10:02
ORDER10385,CUST0089,P0009,3,1477570,2024-04-26 18:26:00
ORDER10386,CUST0090,P0041,1,1313881,2024-05-28 03:26:25
ORDER10387,CUST0091,P0070,2,554837,2023-07-05 17:57:16
ORDER10388,CUST0091,P0223,5,619930,2023-08-23 22:12:47
ORDER10389,CUST0092,P0267,3,1040583,2024-11-14 19:48:15
ORDER10390,CUST0092,P0175,5,1107305,2024-12-18 00:36:42
ORDER10391,CUST0092,P0219,2,1400210,2023-02-21 07:47:58
ORDER10392,CUST0092,P0253,3,143687,2024-05-04 18:36:02
ORDER10393,CUST0092,P0187,5,312406,2023-06-17 12:18:52
ORDER10394,CUST0093,P0190,10,744759,2023-10-05 07:44:03
